metric,node,start,end,value
ext_arr,Shock_room,0,6,0.1725
ext_arr,Shock_room,6,12,0.345
ext_arr,Shock_room,12,18,0.3335
ext_arr,Shock_room,18,24,0.299
ext_arr,Intensive_treatment,0,NA,0
ext_arr,Observation,0,6,0.33
ext_arr,Observation,6,12,0.66
ext_arr,Observation,12,18,0.638
ext_arr,Observation,18,24,0.572
ext_arr,Emergency_yellow,0,6,0.33
ext_arr,Emergency_yellow,6,12,0.66
ext_arr,Emergency_yellow,12,18,0.638
ext_arr,Emergency_yellow,18,24,0.572
ext_arr,Emergency_green,0,8,2.8
ext_arr,Emergency_green,8,20,3.8
ext_arr,Emergency_green,20,24,2.8
ext_arr,Examination,0,NA,0
cap,Shock_room,0,8,3
cap,Shock_room,8,20,6
cap,Shock_room,20,24,3
cap,Intensive_treatment,0,NA,4
cap,Observation,0,NA,8
cap,Emergency_yellow,0,NA,5
cap,Emergency_green,0,NA,10
cap,Examination,0,NA,5
